keyword,title,host,dueDate,viewCount,coverImage,parentCategory_id,subCategory_id
서포터즈,화성시 축제 서포터즈 모집,문화발전소 열터,마감기한 없음,796,https://cf-cpi.campuspick.com/activity/1726795799584712_thumb.jpg,1,2
국내봉사,[용산구가족센터] '용산가족음악회' 행사진행보조 봉사자 구합니다!,용산구가족센터,마감기한 없음,572,https://cf-cpi.campuspick.com/activity/172679304079578_thumb.jpg,1,2
국내봉사,제6회 대흥이네 마을축제 자원봉사자 모집,서울시 마포구 대흥동 주민센터,마감기한 없음,620,https://cf-cpi.campuspick.com/activity/1726790243737592_thumb.jpg,1,2
강연/행사,지속가능한 청년일자리를 위한 취업전략,서울청년센터 성동,마감기한 없음,731,https://cf-cpi.campuspick.com/activity/1726724568333863_thumb.jpg,1,2
국내봉사,[하계종합사회복지관]우리동네 놀이터 일일 자원봉사자 모집,하계종합사회복지관,마감기한 없음,628,https://cf-cpi.campuspick.com/activity/1726717889262335_thumb.jpg,1,2
"국내봉사,서포터즈",광주여성영화제 자원활동가 귀니 모집(영화제 봉사),(사)광주여성영화제,마감기한 없음,757,https://cf-cpi.campuspick.com/activity/1726711037305840_thumb.jpg,1,2
서포터즈,2024 시흥산업진흥원 3기 청년 서포터즈 추가모집,시흥산업진흥원,마감기한 없음,518,https://cf-cpi.campuspick.com/activity/1726710955486366_thumb.jpg,1,2
강연/행사,[LG전자] 하이엘지 토크콘서트 - 4편 해외영업,LG전자,마감기한 없음,653,https://cf-cpi.campuspick.com/activity/1726213757678381_thumb.jpg,1,2
강연/행사,[대한상공회의소] DLCA Tech-Tree CON (9.26~9.27),고옹노동부,마감기한 없음,523,https://cf-cpi.campuspick.com/activity/1726212157182513_thumb.jpg,1,2
"국내봉사,서포터즈","환경 마라톤 <2024 어쓰런> ""자원봉사자""를 모집합니다",지구를지키는소소한행동 사회적협동조합,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/17261941731026_thumb.jpg,1,2
